"","B cell","CD14+ monocyte","CD16+ monocyte","CD4+ T cell","Cytotoxic T cell","Dendritic cell","Megakaryocyte","Natural killer cell","Plasmacytoid dendritic cell"
"B Cells",342,0,0,1,1,0,0,0,0
"CD14+ Monocytes",0,478,2,0,0,1,0,0,0
"CD8+ T Cells",0,0,0,2,285,0,0,4,0
"Dendritic Cells",0,0,0,0,0,29,0,0,3
"FCGR3A+ Monocytes",0,42,120,0,0,0,0,0,0
"Memory CD4+ T Cells",1,0,0,432,43,0,0,0,0
"Naive CD4+ T Cells",1,0,0,661,22,0,0,0,0
"NK Cells",0,0,0,0,14,0,0,141,0
"Other",8,12,1,16,24,0,0,1,0
"Platelets",0,0,1,0,0,0,12,0,0
