"","B cell","CD14+ monocyte","CD16+ monocyte","CD4+ T cell","Cytotoxic T cell","Dendritic cell","Megakaryocyte","Natural killer cell","Plasmacytoid dendritic cell"
"B Cells",99.4,0,0,0.3,0.3,0,0,0,0
"CD14+ Monocytes",0,99.4,0.4,0,0,0.2,0,0,0
"CD8+ T Cells",0,0,0,0.7,97.9,0,0,1.4,0
"Dendritic Cells",0,0,0,0,0,90.6,0,0,9.4
"FCGR3A+ Monocytes",0,25.9,74.1,0,0,0,0,0,0
"Memory CD4+ T Cells",0.2,0,0,90.8,9,0,0,0,0
"Naive CD4+ T Cells",0.1,0,0,96.6,3.2,0,0,0,0
"NK Cells",0,0,0,0,9,0,0,91,0
"Other",12.9,19.4,1.6,25.8,38.7,0,0,1.6,0
"Platelets",0,0,7.7,0,0,0,92.3,0,0
